h,response,rmse,province,method
1,cumulative_deaths,115.54897556514786,Alberta,seir
3,cumulative_deaths,122.71187547013476,Alberta,seir
5,cumulative_deaths,134.85810477168764,Alberta,seir
7,cumulative_deaths,148.70739182622935,Alberta,seir
14,cumulative_deaths,191.83321978514127,Alberta,seir
21,cumulative_deaths,236.48939219886364,Alberta,seir
1,cumulative_deaths,102.33475908007262,BC,seir
3,cumulative_deaths,114.71581035142813,BC,seir
5,cumulative_deaths,122.92430115337714,BC,seir
7,cumulative_deaths,133.0142844927315,BC,seir
14,cumulative_deaths,170.7047237853225,BC,seir
21,cumulative_deaths,207.26938659518154,BC,seir
1,cumulative_deaths,131.41156936441442,Manitoba,seir
3,cumulative_deaths,144.43259431664478,Manitoba,seir
5,cumulative_deaths,157.17542706216815,Manitoba,seir
7,cumulative_deaths,173.7253449191,Manitoba,seir
14,cumulative_deaths,236.1326367384752,Manitoba,seir
21,cumulative_deaths,318.1518370390891,Manitoba,seir
1,cumulative_deaths,848.9051949045986,Ontario,seir
3,cumulative_deaths,871.6059549055984,Ontario,seir
5,cumulative_deaths,901.095823258773,Ontario,seir
7,cumulative_deaths,934.0421967253748,Ontario,seir
14,cumulative_deaths,1122.2496850564448,Ontario,seir
21,cumulative_deaths,1471.8335148560611,Ontario,seir
1,cumulative_deaths,3503.7240668845398,Quebec,seir
3,cumulative_deaths,3542.8781425012353,Quebec,seir
5,cumulative_deaths,3583.369386920021,Quebec,seir
7,cumulative_deaths,3616.2947411871214,Quebec,seir
14,cumulative_deaths,3786.3603709182917,Quebec,seir
21,cumulative_deaths,4245.223307414057,Quebec,seir
1,cumulative_deaths,35.596104477940756,Saskatchewan,seir
3,cumulative_deaths,37.237798942591056,Saskatchewan,seir
5,cumulative_deaths,40.50336937016613,Saskatchewan,seir
7,cumulative_deaths,44.793177373114226,Saskatchewan,seir
14,cumulative_deaths,55.85124408711384,Saskatchewan,seir
21,cumulative_deaths,65.12151134548692,Saskatchewan,seir
1,cumulative_deaths,80.56621409691712,Alberta,seir_time_varying_params
3,cumulative_deaths,88.27735605158718,Alberta,seir_time_varying_params
5,cumulative_deaths,92.79888720800176,Alberta,seir_time_varying_params
7,cumulative_deaths,97.96236611717904,Alberta,seir_time_varying_params
14,cumulative_deaths,134.81312323824915,Alberta,seir_time_varying_params
21,cumulative_deaths,188.67269536766386,Alberta,seir_time_varying_params
1,cumulative_deaths,186.02885455237038,BC,seir_time_varying_params
3,cumulative_deaths,195.85843055823258,BC,seir_time_varying_params
5,cumulative_deaths,200.80777069180675,BC,seir_time_varying_params
7,cumulative_deaths,213.53764370405,BC,seir_time_varying_params
14,cumulative_deaths,240.98224707618832,BC,seir_time_varying_params
21,cumulative_deaths,275.39887216158445,BC,seir_time_varying_params
1,cumulative_deaths,100.51639804771965,Manitoba,seir_time_varying_params
3,cumulative_deaths,113.78585668038647,Manitoba,seir_time_varying_params
5,cumulative_deaths,127.80092795960095,Manitoba,seir_time_varying_params
7,cumulative_deaths,144.6653566636303,Manitoba,seir_time_varying_params
14,cumulative_deaths,211.51171575889094,Manitoba,seir_time_varying_params
21,cumulative_deaths,293.5265066630436,Manitoba,seir_time_varying_params
1,cumulative_deaths,785.3564836360905,Ontario,seir_time_varying_params
3,cumulative_deaths,813.4619444627423,Ontario,seir_time_varying_params
5,cumulative_deaths,851.7225009666791,Ontario,seir_time_varying_params
7,cumulative_deaths,894.5526122114874,Ontario,seir_time_varying_params
14,cumulative_deaths,1165.3661296008445,Ontario,seir_time_varying_params
21,cumulative_deaths,1685.015360560662,Ontario,seir_time_varying_params
1,cumulative_deaths,3826.995998305828,Quebec,seir_time_varying_params
3,cumulative_deaths,3838.8770253193984,Quebec,seir_time_varying_params
5,cumulative_deaths,3858.1115723791677,Quebec,seir_time_varying_params
7,cumulative_deaths,3873.9610909302965,Quebec,seir_time_varying_params
14,cumulative_deaths,3986.8560912591756,Quebec,seir_time_varying_params
21,cumulative_deaths,4407.733683380804,Quebec,seir_time_varying_params
1,cumulative_deaths,42.61085221356051,Saskatchewan,seir_time_varying_params
3,cumulative_deaths,44.83999104750255,Saskatchewan,seir_time_varying_params
5,cumulative_deaths,48.22957251527148,Saskatchewan,seir_time_varying_params
7,cumulative_deaths,52.399458888871784,Saskatchewan,seir_time_varying_params
14,cumulative_deaths,63.16494296911795,Saskatchewan,seir_time_varying_params
21,cumulative_deaths,74.15426684258001,Saskatchewan,seir_time_varying_params
